frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
2729.8023,-0.1153,-4.3371,0.0403,-13.9599
2735.6602,-0.1156,-4.3454,0.0395,-13.9891
2741.5182,-0.1163,-4.3538,0.0388,-14.0180
2747.3761,-0.1169,-4.3617,0.0380,-14.0475
2753.2341,-0.1173,-4.3703,0.0372,-14.0758
2759.0920,-0.1179,-4.3782,0.0365,-14.1045
2764.9500,-0.1184,-4.3862,0.0358,-14.1353
2770.8079,-0.1188,-4.3943,0.0350,-14.1633
2776.6659,-0.1195,-4.4020,0.0341,-14.1935
2782.5238,-0.1200,-4.4107,0.0335,-14.2218
2788.3817,-0.1206,-4.4194,0.0327,-14.2514
2794.2397,-0.1211,-4.4269,0.0318,-14.2802
2800.0976,-0.1216,-4.4361,0.0311,-14.3100
2805.9556,-0.1220,-4.4436,0.0303,-14.3385
